Geography,Category,Data Type,Unit,Current Constant,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
World,Sub 1: In-car entertainment,Retail Value RSP,USD million,Current Prices,14365.4,12754.8,11417.4,9085.3,8107.1,7645.1,7317.4,6897.6,6607.4,6360.1,6148.8,0.804279866
World,Sub 1: In-Home Electronics,Retail Value RSP,USD million,Current Prices,186956.5,182964.0,174728.1,151926.3,146072.3,151579.4,162252.4,169751.1,180934.0,191873.9,206450.5,1.361995759
World,Sub 2: Home Audio and Cinema,Retail Value RSP,USD million,Current Prices,21501.1,21488.8,20339.1,17510.4,16683.6,16525.5,16797.7,16566.2,16598.2,16593.9,16708.9,1.011098
World,Sub 2: Home Video,Retail Value RSP,USD million,Current Prices,165455.5,161475.3,154388.9,134415.9,129388.7,135053.9,145454.7,153184.9,164335.8,175280.0,189741.6,1.404932401
World,Sub 1: Portable Electronics,Retail Value RSP,USD million,Current Prices,303846.5,352474.5,354889.9,347156.7,354849.2,369372.9,391045.3,410079.7,438661.6,470663.0,508105.5,1.375589546
World,Sub 2: Transactions,Retail Value RSP,USD million,Current Prices,48775834.2,53551549.4,57711402.7,58454825.1,58070937.2,59903321.2,62203850.2,64475711.9,66992863.8,69554718.6,72370967.9,1.208129473
World,Consumer Health,Retail Value RSP,USD million,Current Prices,219280.0,226334.1,227433.5,218461.7,224624.7,233275.3,240778.5,251841.0,263432.0,275515.1,288383.0,1.236234612
World,Eyewear,Retail Value RSP,USD million,Current Prices,126636.5,130616.2,133529.3,124507.7,124823.8,129233.5,137882.8,142923.6,149154.9,155517.5,162217.6,1.255228714
World,Sub 2: Better For You (BFY),Retail Value RSP,USD million,Current Prices,155357.6,156560.7,154482.9,140049.4,137105.2,139485.5,144395.4,149231.1,154948.6,160562.1,166657.1,1.194798743
World,Sub 2: Fortified/Funcional (FF),Retail Value RSP,USD million,Current Prices,239776.4,249351.1,254467.5,241649.9,241388.1,247893.9,261011.8,274482.9,289465.1,304793.9,322248.7,1.299946066
World,Sub 2: Free From,Retail Value RSP,USD million,Current Prices,27873.9,31466.9,33156.1,33917.2,34633.9,36179.2,38949.2,41813.2,45004.6,48210.2,51822.4,1.432381037
World,Sub 2: Naturally Healthy (NH),Retail Value RSP,USD million,Current Prices,245401.0,251779.8,255262.5,238844.4,244375.6,253846.5,269695.3,285953.7,304146.7,322373.6,342730.8,1.350149795
World,Sub 2: Organic,Retail Value RSP,USD million,Current Prices,30583.4,33196.6,35969.4,35527.2,37837.2,40438.4,44255.1,47901.5,51745.1,55442.8,59381.8,1.468450779
World,Home and Garden,Retail Value RSP,USD million,Current Prices,998954.8,1019284.7,1033115.1,963845.8,965635.5,1004885.1,1084590.7,1155007.5,1255953.0,1382316.4,1523871.3,1.516463225
World,Sub 1: Gardening,Retail Value RSP,USD million,Current Prices,88876.1,88850.4,89517.6,82767.2,83430.4,86166.2,91770.6,95031.7,98717.4,102613.8,106764.3,1.239050811
